,answerEntityId,description
2870,Q170581,American politician
2871,Q456750,member of the United States Senate from Maine (1897-1995)
2872,Q67615838,item in the National Archives and Records Administration's holdings
2873,Q1497875,American politician (1916-2003)
2874,Q232407,American congresswoman for Montana (1880-1973)
2875,Q240965,American politician (1881-1960)
2876,Q261147,American politician
2877,Q102352408,"American journalist, activist, and substance abuse counselor"
2878,Q447716,American entrepreneur (1867-1919)
2879,Q185696,American novelist (1832–1888)
2880,Q297743,British actress (1853-1929)
2881,Q932272,"American businessman, conservationist, financier, philanthropist (1910-2004)"
2882,Q56016,American actress (1907–2003)
2883,Q182462,American actress (1906–1984)
2884,Q230099,American actress and singer (1898–1990)
2885,Q37103,"English social reformer, statistician, and founder of modern nursing (1820-1910)"
2886,Q2836665,American writer and socialite (1884–1980)
2887,Q4725736,ND
2888,Q19235127,"German article in Die Gartenlaube, 1872, no. 14"
2889,Q260378,"American suffragist, editor (1838-1927)"
2890,Q48794794,scientific article published in February 2001
2891,Q271243,American politician (1835-1930)
2892,Q442818,"English politician, writer, and activist (1847–1929)"
2893,Q529663,American politician (1910-1992)
2894,Q232407,American congresswoman for Montana (1880-1973)
2895,Q63894312,musical character in the musical Clinton: The Musical by Paul Hodge
2896,Q6294,"American politician, diplomat, and presidential candidate (born 1947)"
2897,Q234287,First Lady of the United States from 1923 to 1929
2898,Q233644,"First Lady of the United States (1886–1889, 1893–1897)"
2899,Q5365075,Mayor of San Francisco from 1996 to 2004
2900,Q1712347,guitar player and vocalist
2901,Q170581,American politician
2902,Q6153369,American mayor
2903,Q5367568,"high school in Santa Rosa, California"
2904,Q5367567,Native American Pomo basket weaver (1899–1990)
2905,Q64867600,"New Zealand artist, designer and teacher (1909-2003)"
2906,Q1649757,"British psychologist, participant in the Spanish Civil War and first wife of George Orwell (1905–1945)"
2907,Q230733,United States Senator from 1992 to 2023
2908,Q5044536,"Freedom Rider, member of the San Francisco Board of Supervisors, activist and attorney"
2909,Q4762357,Attorney and politician
2910,Q260378,"American suffragist, editor (1838-1927)"
2911,Q239657,first black woman elected to the United States Congress (1924-2005)
2912,Q271243,American politician (1835-1930)
2913,Q456750,member of the United States Senate from Maine (1897-1995)
2914,Q299833,American politician and activist (1929–2018)
2915,Q1497875,American politician (1916-2003)
2916,Q232407,American congresswoman for Montana (1880-1973)
2917,Q1027455,"United States Senator from Arkansas and first woman elected to the U.S. Senate, first woman to preside over the senate, first woman to chair a senate committee, and first woman to preside over a senate hearing"
2918,Q240965,American politician (1881-1960)
2919,Q127328,"American suffragist, feminist, and activist (1885–1977)"
2920,Q528513,American politician (1854-1931)
2921,Q110670148,academic
2922,Q599174,American politician (1885-1977)
2923,Q5361147,Presidential Citizen Medal recipient
2924,Q83396,First Lady of the United States from 1933 to 1945
2925,Q76314916,daughter of Grace Green Roosevelt and William McMillan Sr; great-granddaughter of Theodore Roosevelt
2926,Q16974557,Canadian politician
2927,Q461649,American lawyer and politician (born 1937)
2928,Q434112,American politician
2929,Q4858696,American politician
2930,Q213847,American politician
2931,Q76280032,(1667-1726)
2932,Q239657,first black woman elected to the United States Congress (1924-2005)
2933,Q271243,American politician (1835-1930)
2934,Q3273384,plaintiff in Roe v. Wade (1947–2017)
2935,Q170581,American politician
2936,Q456750,member of the United States Senate from Maine (1897-1995)
2937,Q1497875,American politician (1916-2003)
2938,Q232407,American congresswoman for Montana (1880-1973)
2939,Q83396,First Lady of the United States from 1933 to 1945
2940,Q461649,American lawyer and politician (born 1937)
2941,Q240965,American politician (1881-1960)
2942,Q127328,"American suffragist, feminist, and activist (1885–1977)"
2943,Q553321,"American football player, coach, and executive (1913-1970)"
2944,Q313381,American football player (born 1977)
2945,Q372640,"American football player, coach (1914-2008)"
2946,Q736932,American football player and Navy officer (born 1942)
2947,Q7539,American football player (born 1976)
2948,Q316183,American basketball player
2949,Q716029,American football player (1933–2002)
2950,Q432931,American football player and general manager from the United States
2951,Q927916,American football player and actor (1936–2023)
2952,Q112534941,American alternative therapist and businessman
2953,Q809211,"American football player, coach, executive (1934-2019)"
2954,Q968565,British-American science fiction author (1920-2010)
2955,Q123078,American author and aeronautical engineer (1907–1988)
2956,Q171091,American science fiction author (1928–1982)
2957,Q316313,American non- and speculative fiction writer
2958,Q313673,English science fiction author (1903-1969)
2959,Q1597562,German painter (1803-1885)
2960,Q42511,English writer (1866–1946)
2961,Q3252744,ND
2962,Q24961479,list of works by E. E. Smith
2963,Q286116,American science fiction author
2964,Q692557,1962 novel by Anthony Burgess
2965,Q234773,American actress and businesswoman
2966,Q2475358,American actress (1927-1994)
2967,Q17600288,American actress
2968,Q3361772,American actress and singer (1923-1974)
2969,Q233937,American singer and actress
2970,Q234471,Canadian-American actress (1948-2018)
2971,Q164069,British actress
2972,Q143223,English actress
2973,Q56009,"Italian actress, photojournalist, and politician (1927–2023)"
2974,Q190602,American actress
2975,Q235020,American actress
2976,Q19285477,American teacher and first wife of U.S. President Joe Biden
2977,Q13133,lawyer and former First Lady of the United States
2978,Q432473,"First Lady of the United States (2017–2021), model, and businesswoman"
2979,Q2597050,American actress and TV personality
2980,Q106536033,ND
2981,Q1190219,"reservoir in Central Park, New York City, United States"
2982,Q165421,First Lady of the United States from 1961 to 1963
2983,Q76552472,print in the National Gallery of Art (NGA 150462)
2984,Q6120060,ND
2985,Q239411,Senior Advisor to the President of the United States from 2017 to 2021
2986,Q242351,Czech-American businesswoman (1949–2022)
2987,Q454692,American blues musician
2988,Q310332,American recording artist; R&B singer-songwriter and record producer
2989,Q321354,"American businessman, record executive, record producer and DJ (1923–2003)"
2990,Q295919,American singer and songwriter (1931–1964)
2991,Q188426,American musician
2992,Q107075697,father of Berry Gordy III
2993,Q189758,American singer (1939–1984)
2994,Q546956,American bassist
2995,Q5585076,"Canadian musician, writer"
2996,Q107075702,grandfather of Berry Gordy III
2997,Q355288,"American record producer, founder of Motown Records"
2998,Q73360,Belgian association football player
2999,Q173972,Dutch association football player and manager
3000,Q1919,French association football player
3001,Q1908,French association football player (born 1985)
3002,Q483629,Dutch association football player and manager
3003,Q26517,Uruguayan association football player
3004,Q20830808,Italian association football player
3005,Q48892,Ivorian and French association football player
3006,Q5835713,Salvadorean footballer (born 1993)
3007,Q12956094,Croatian talk show host
3008,Q84086,Serbian association football player
3009,Q205282,American politician (1860–1925)
3010,Q106987081,"politician in Massachusetts, US"
3011,Q2545353,"Union United States Army officer, lawyer"
3012,Q7794855,"politician in Massachusetts, US (born 1960)"
3013,Q382696,United States Senator from Utah (1862–1918)
3014,Q1399488,American politician (1859-1933)
3015,Q522396,Irish nationalist & American politician (1823-1867)
3016,Q2422966,American politician
3017,Q1889152,American politician and diplomat
3018,Q719200,American politician (1827-1901)
3019,Q16031060,American politician (1852-1904)
3020,Q711631,American politician and lawyer (1882–1975)
3021,Q1747292,American politician and teacher (1832-1912)
3022,Q35648,president of the United States from 1909 to 1913
3023,Q387764,"Canadian politician, premier of Ontario"
3024,Q47509071,painting by Joseph Cummings Chase
3025,Q895819,American politician (1865–1940)
3026,Q442014,American politician (1847-1929)
3027,Q6129201,"Bloomfield, IA, listed on the NRHP in Iowa"
3028,Q462305,American politician (1833–1912)
3029,Q364053,"American military officer, lawyer, and politician"
3030,Q880826,American politician (1836–1904)
3031,Q477169,American politician (1924-1984)
3032,Q198180,Legendary ancient Chinese emperor
3033,Q35216,dynasty of Ancient Chinese kings (王) lasting from c. 1046 to 256 BC
3034,Q103980079,encyclopedia article
3035,Q45392166,Song dynasty person CBDB = 19437
3036,Q11070964,Qing dynasty person CBDB = 63199
3037,Q7192,first emperor of Qin Dynasty
3038,Q7267765,2001 Chinese television series
3039,Q17488410,fictional brown dwarf from the Serenityverse
3040,Q1327607,Chinese warlord
3041,Q45631507,Qing dynasty person CBDB = 84486
3042,Q307066,second half of the Chinese Zhou dynasty (770 BCE–256 BCE)
3043,Q159351,American hip hop band
3044,Q531913,American rapper
3045,Q2560145,American rapper
3046,Q2748803,"Australian rapper, songwriter and model"
3047,Q173637,American rapper and actor
3048,Q5331475,1989 single by Dr. Dre and Eazy-E
3049,Q36804,American rapper (1964–1995)
3050,Q6078,"American rapper, record producer, and businessman"
3051,Q458787,Jamaican American DJ
3052,Q1088952,American rapper
3053,Q316872,"American DJ, record producer and rapper"
3054,Q3498857,American football player
3055,Q7539,American football player (born 1976)
3056,Q371118,American football coach (born 1972)
3057,Q505431,American football player (born 1980)
3058,Q1767336,"American football player, quarterback"
3059,Q716029,American football player (1933–2002)
3060,Q432931,American football player and general manager from the United States
3061,Q795406,American football player (born 1985)
3062,Q937778,"American football player, quarterback"
3063,Q1676743,American football player (born 1985)
3064,Q1251736,American football player
3065,Q128902,British statesman (1759–1806)
3066,Q28536940,painting by George Romney
3067,Q28050343,"painting by Sir John Everett Millais, 1st Bt"
3068,Q160852,British Liberal prime minister (1809–1898)
3069,Q28050636,painting by Prince Pierre Troubetskoy
3070,Q7350828,British noble
3071,Q18672250,English army officer (1808-1876)
3072,Q7350829,English Whig politician; (1650-1700)
3073,Q104190,"British statesman and art collector, 1st Earl of Orford (1676–1745)"
3074,Q2492102,British politician (1811-1864)
3075,Q4121443,British noble; (1720-1794)
3076,Q34296,president of the United States from 1913 to 1921
3077,Q47512015,painting by Harriet Anderson Stubbs Murphy
3078,Q35041,president of the United States from 1897 to 1901
3079,Q12356786,American politician (1771-1835)
3080,Q1301825,American politician (1896–1990)
3081,Q11869,president of the United States in 1841
3082,Q11816,president of the United States from 1825 to 1829
3083,Q84114,American composer
3084,Q11806,president of the United States from 1797 to 1801
3085,Q23,president of the United States from 1789 to 1797
3086,Q2366114,American inventor and businessman of Anglo-Belgian origin (1871–1946)
3087,Q1301825,American politician (1896–1990)
3088,Q11869,president of the United States in 1841
3089,Q47510214,painting by James Henry Beard
3090,Q11816,president of the United States from 1825 to 1829
3091,Q84114,American composer
3092,Q11806,president of the United States from 1797 to 1801
3093,Q4667661,daughter of John Adams (1765-1813)
3094,Q100147886,granddaughter of U.S. president John Adams
3095,Q206191,First Lady of the United States from 1797 to 1801 (1744–1818)
3096,Q8015464,American businessman (1807-1892)
3097,Q35041,president of the United States from 1897 to 1901
3098,Q35648,president of the United States from 1909 to 1913
3099,Q11869,president of the United States in 1841
3100,Q35286,president of the United States from 1921 to 1923
3101,Q7970211,American politician  (1921-2005)
3102,Q7880949,California Attorney General
3103,Q7880938,American businessman (1852-1929)
3104,Q34836,president of the United States from 1869 to 1877
3105,Q18688269,painting by Ole Peter Hansen Balling
3106,Q8612,president of the United States from 1865 to 1869
3107,Q34836,president of the United States from 1869 to 1877
3108,Q18688269,painting by Ole Peter Hansen Balling
3109,Q5825107,former estate of Rutherford B. Hayes
3110,Q389470,"building in Ohio, United States"
3111,Q35686,president of the United States from 1877 to 1881
3112,Q12325,president of the United States from 1857 to 1861
3113,Q52810993,researcher (ORCID 0000-0003-2528-0638)
3114,Q57547158,particle physicist at University of Wisconsin
3115,Q47203091,researcher
3116,Q276306,English association football player (born 1981)
3117,Q8612,president of the United States from 1865 to 1869
3118,Q2061693,"airport in Alaska, United States of America"
3119,Q264389,American aviator; first pilot to fly solo around the world
3120,Q494455,American aviation pioneer
3121,Q7047260,American aviation pioneer (1899-1977)
3122,Q189081,"American aviator, engineer, industrialist, and film producer (1905–1976)"
3123,Q64768257,researcher
3124,Q1441448,New Zealand yacht racer
3125,Q1618,"American aviator, author, inventor, explorer, and social activist"
3126,Q15903142,eldest child of aviator Charles Lindbergh and writer Anne Morrow Lindbergh
3127,Q5074867,ND
3128,Q3355,American aviation pioneer and author
3129,Q592483,American guitarist
3130,Q470678,American musician
3131,Q7819619,English association football player (born 1986)
3132,Q1291701,American drummer
3133,Q133151,British musician
3134,Q1386535,Finnish rock musician
3135,Q343304,American guitarist
3136,Q251865,American rock musician
3137,Q129880,American musician
3138,Q265252,American guitarist
3139,Q11885,American singer
3140,Q7976759,American football owner
3141,Q7815428,American businessman
3142,Q7814941,American football executive (1927-2018)
3143,Q591632,American astronomer (1927-2015)
3144,Q1745380,"American football executive, NFL commissioner (1926-1996)"
3145,Q371118,American football coach (born 1972)
3146,Q1629087,Canadian politician
3147,Q1689214,American football coach (born 1966)
3148,Q6183833,American businessman
3149,Q1280022,American businessman and owner of the Dallas Cowboys
3150,Q2745557,"American football player, executive, and owner (1901–1988)"
3151,Q449145,Canadian ice hockey player (born 1973)
3152,Q1276120,American ice hockey player
3153,Q640268,American ice hockey player
3154,Q335876,American ice hockey player
3155,Q434200,Swedish ice hockey player
3156,Q357465,Canadian-American ice hockey player
3157,Q666825,Swiss ice hockey goaltender
3158,Q36886,Canadian ice hockey player
3159,Q973444,American ice hockey player
3160,Q2806736,Canadian ice hockey player
3161,Q311374,Russian ice hockey player
3162,Q183499,King of England
3163,Q111849186,short story by Ben Travers
3164,Q19092454,entry in Dictionary of National Biography
3165,Q130005,Anglo-Saxon King of England from 1042 to 1066
3166,Q154934,King of Wessex
3167,Q818588,King of Mercia
3168,Q19074819,entry in Dictionary of National Biography
3169,Q117012,Japanese artist and activist based in the United States
3170,Q2632,"British musician, drummer for the Beatles"
3171,Q207335,"British musician, former member of the Beatles"
3172,Q128121,British singer and songwriter; vocalist of The Rolling Stones
3173,Q836684,1970 debut solo studio album by Paul McCartney
3174,Q239177,songwriting partnership between John Lennon and Paul McCartney
3175,Q214587,"commune in Finistère, France"
3176,Q1203,British musician (1940–1980)
3177,Q2643,English musician and member of the Beatles (1943–2001)
3178,Q48187,"English guitarist, singer, and songwriter (born 1945)"
3179,Q203690,British personal manager and impresario (1934–1967)
3180,Q110035332,episode of Saturday Night Live (S12 E12)
3181,Q2263,American actor and film producer (born 1956)
3182,Q294912,American comedian and actor (1940–2005)
3183,Q2599,English musician and member of the Beatles (born 1942)
3184,Q1203,British musician (1940–1980)
3185,Q3807984,American basketball player
3186,Q311754,"American actor, comedian, director and television host"
3187,Q40912,American singer and actor (1915–1998)
3188,Q313246,American fiction writer and essayist
3189,Q231259,American country singer and actor
3190,Q213512,American actor and comedian (born 1937)
3191,Q3901730,"American businesswoman, actress, and sportscaster (1949-2020)"
3192,Q7051698,Canadian politician
3193,Q7048178,American football player
3194,Q271441,basketball player
3195,Q6778088,"American football player, coach, and executive"
3196,Q64919151,American football coach
3197,Q16228305,American football player and coach (born 1977)
3198,Q5528815,American sports announcer
3199,Q5249876,American football player and coach (1924-2003)
3200,Q267636,American basketball player and coach (born 1970)
3201,Q720027,American football coach (born 1952)
3202,Q3290526,ex-wife of Pierre Trudeau and mother of Justin Trudeau
3203,Q7416,British stateswoman and prime minister (1925–2013)
3204,Q93922761,photograph by courtesy of the Thatcher Estate
3205,Q16894343,"municipal park in Edmonton, Alberta, Canada"
3206,Q1872169,Canadian politician (1868-1931)
3207,Q75506651,Peerage person ID=183067
3208,Q128553,19th Prime Minister of Canada in 1993
3209,Q128543,prime minister of Canada from 1993 to 2003
3210,Q52414489,scientific article published in January 1982
3211,Q3675340,Canadian politician (1896-1975)
3212,Q2870860,Canadian politician
3213,Q391944,wife of William the Conqueror and Queen consort of the Kingdom of England
3214,Q235484,English princess
3215,Q588852,Queen of France from 1514 to 1515
3216,Q82674,Queen of England and Ireland from 1553 to 1558
3217,Q107036484,painting by Gerlach Flicke
3218,Q162356,English noblewoman and deposed Queen regnant of England
3219,Q182637,third wife of Henry VIII of England
3220,Q7207,Queen of England and Ireland from 1558 to 1603
3221,Q162819,first wife of Henry VIII of England (1485–1536)
3222,Q57126,Queen consort of England (1515–1557)
3223,Q80823,second wife of Henry VIII of England
3224,Q8877,American filmmaker (born 1946)
3225,Q193628,American film director and screenwriter
3226,Q3772,"American film director, screenwriter, producer, and actor"
3227,Q237659,"American actress, director and producer (1943–2018)"
3228,Q873,American actress (born 1949)
3229,Q484779,"French film director, writer, and producer"
3230,Q191064,Norwegian actress and director
3231,Q34816,American filmmaker
3232,Q40523,American actress (born 1967)
3233,Q41351,American actress and filmmaker (born 1962)
3234,Q219124,Mexican filmmaker and author (born 1964)
3235,Q96787887,news article
3236,Q6522544,book by Leni Riefenstahl
3237,Q55415,"German film director, photographer, actress and Nazi propagandist (1902–2003)"
3238,Q110415687,ND
3239,Q1736047,German journalist and author
3240,Q1545983,German politician (1909-1980)
3241,Q71359,"German politician, former federal minister of defence"
3242,Q41495976,Polish Biography of Angela Merkel
3243,Q41495489,German biography of Angela Merkel
3244,Q567,chancellor of Germany from 2005 to 2021
3245,Q260378,"American suffragist, editor (1838-1927)"
3246,Q239657,first black woman elected to the United States Congress (1924-2005)
3247,Q271243,American politician (1835-1930)
3248,Q441938,American author and conservative columnist
3249,Q399235,American politician (1927–2002)
3250,Q7051698,Canadian politician
3251,Q170581,American politician
3252,Q48521630,scientific article published in May 2008
3253,Q299833,American politician and activist (1929–2018)
3254,Q1497875,American politician (1916-2003)
3255,Q113375803,diplomatic visit by US House speaker Nancy Pelosi and five other Democratic House members
3256,Q241387,Italian cardinal (1095–1164)
3257,Q1407,second Roman emperor (42 BC - AD 37) (r. AD 14–AD 37)
3258,Q130601,last emperor of the Western Roman Empire
3259,Q104286408,New Zealand land surveyor (1816-1901)
3260,Q43107,Augustus of the Eastern Roman Empire (244-311)
3261,Q8413,Roman emperor from 306 to 337 and first to convert to Christianity
3262,Q3044,"king of Franks, regarded as the first Holy Roman Emperor (747–814)"
3263,Q76374762,(1844-1924)
3264,Q770219,American politician (1812-1883)
3265,Q211804,"imperial rank, honorific and title"
3266,Q1405,first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
3267,Q357455,British singer and musician
3268,Q207335,"British musician, former member of the Beatles"
3269,Q361677,"English guitarist, songwriter, multi-instrumentalist, arranger and record producer (1946–1993)"
3270,Q128121,British singer and songwriter; vocalist of The Rolling Stones
3271,Q211696,"English rock musician, drummer of The Who (1946–1978)"
3272,Q1203,British musician (1940–1980)
3273,Q181677,American writer and television producer
3274,Q2643,English musician and member of the Beatles (1943–2001)
3275,Q216051,British drummer (1941–2021)
3276,Q5977,American rock 'n' roll singer (1936–1959)
3277,Q311450,American R&B musician (1946–2006)
3278,Q11288168,American baseball player and coach
3279,Q608854,Cuban/American baseball player
3280,Q455117,Dominican baseball player
3281,Q7363538,American baseball player
3282,Q970848,American baseball player
3283,Q536900,American Hall of Fame baseball player
3284,Q1145308,American Hall of Fame baseball pitcher and sportscaster
3285,Q687282,Baseball outfielder
3286,Q679120,American baseball player and coach
3287,Q1038597,American baseball player
3288,Q862301,American baseball player and coach
3289,Q6780511,neuroendocrinologist (1902-2002)
3290,Q259495,American actress (1902-1984)
3291,Q275511,actress (1898-1933)
3292,Q104183,American actress (1893–1993)
3293,Q256968,Canadian-American actress (1886-1938)
3294,Q102299651,"American public service administrator, activist and journalist (1905-1997)"
3295,Q2520221,Filipino actress (1924-2020)
3296,Q446444,American actress (1899-1987)
3297,Q508858,American actress (1890-1955)
3298,Q263367,French film director (1873–1968)
3299,Q233856,American actress (1892–1939)
3300,Q2643575,ND
3301,Q16843633,aspect of history
3302,Q1374721,emblem
3303,Q41304,Germany in the years 1918/1919–1933
3304,Q223936,kingdom in southern Europe between 1805 and 1814
3305,Q172579,kingdom in Southern Europe from 1861 to 1946
3306,Q38,country in Southern Europe
3307,Q183,country in Central Europe
3308,Q1206012,"official name for the German nation state from 1871 to 1945, and name of Germany until 1949"
3309,Q33946,"country in Central Europe, 1918–1992"
3310,Q99288234,the country of Czechoslovakia as depicted in Star Trek
3311,Q99281400,country of the United States of America as depicted in Star Trek
3312,Q30,country primarily located in North America
3313,Q11703,territory of the United States of America
3314,Q113853041,scientific article published in 1973
3315,Q166433,American experimental rock and psychedelic band
3316,Q56592465,ND
3317,Q77191081,scientific article published on 01 October 1991
3318,Q114298020,scientific article published in 1960
3319,Q99288945,the country of the Soviet Union as depicted in Star Trek
3320,Q3233780,scientific national academy for the United States
3321,Q553321,"American football player, coach, and executive (1913-1970)"
3322,Q1378304,American football player and coach
3323,Q7614020,American football player and coach (born 1945)
3324,Q1857407,American football coach
3325,Q1254455,American race team owner and football coach
3326,Q6183644,American football player and coach
3327,Q163908,"American football player, coach, and team owner (1895-1983)"
3328,Q3758515,American football player and coach
3329,Q5300814,American football player and coach
3330,Q2679005,American football player and coach
3331,Q952108,American football player and coach (1932-2014)
3332,Q77113,German politician (1856–1921)
3333,Q55385098,ND
3334,Q8442,German statesman and Chancellor (1815-1898)
3335,Q50102653,"painting by Franz von Lenbach, Alte Nationalgalerie"
3336,Q153421,German general and Nazi war criminal (1873-1956)
3337,Q30104325,German jurist and manager
3338,Q1781908,German official aircraft
3339,Q2492,"German politician, Chancellor of West Germany (1949–1963), Zentrum and CDU"
3340,Q449718,Government of German Reich
3341,Q77156,German politician (1852-1926)
3342,Q1719745,5th Cabinet of German Empire
3343,Q520862,South African artist
3344,Q104049,Bahamian and American actor and diplomat (1927–2022)
3345,Q273233,"American singer, actor, and political activist (1898–1976)"
3346,Q1354247,American writer and director (1884-1951)
3347,Q6258000,Australian entrepreneur
3348,Q2074528,American football player (born 1984)
3349,Q228904,American actress (1895-1952)
3350,Q214959,American singer and actor (1927–2023)
3351,Q12912579,season of television series
3352,Q528428,American actor and United States naval officer (1909–2000)
3353,Q128532,"Lithuanian-born American entertainer, actor, and singer (1886–1950)"
3354,Q20706895,American politician
3355,Q3107510,Australian cricketer
3356,Q7340994,English footballer (born 1960)
3357,Q184612,Irish professional football coach
3358,Q311171,English association football player and manager (born 1967)
3359,Q83456,English association football player
3360,Q15199,English association football player (born 1992)
3361,Q47778,English footballer
3362,Q316681,English association football player and manager
3363,Q2604314,American boxer (1912-1984)
3364,Q41533,English association football player and manager (born 1978)
3365,Q7357835,"athletics running track and stadium in Oxford, England"
3366,Q319351,English physician and athlete
3367,Q90250431,researcher (ORCID 0000-0001-7695-2735)
3368,Q6414612,stadium in Africa
3369,Q28947,Kenyan athlete
3370,Q83905,Moroccan middle-distance runner
3371,Q6284282,American former heavyweight boxer
3372,Q56016,American actress (1907–2003)
3373,Q95034,American actor (1882-1942)
3374,Q16390,American actor (1899–1957)
3375,Q181819,American actor (1897–1975)
3376,Q93188,Australian actor (1909–1959)
3377,Q77181,German actor (1884-1950)
3378,Q528428,American actor and United States naval officer (1909–2000)
3379,Q882,English comic actor and filmmaker (1889–1977)
3380,Q36105,American actor (1921–2003)
3381,Q103949,"American actor, comedian, and filmmaker (1895–1966)"
3382,Q11869,president of the United States in 1841
3383,Q5825107,former estate of Rutherford B. Hayes
3384,Q35686,president of the United States from 1877 to 1881
3385,Q12306,president of the United States from 1850 to 1853
3386,Q46991455,"painting by American School, painter"
3387,Q11820,president of the United States from 1837 to 1841
3388,Q11816,president of the United States from 1825 to 1829
3389,Q12325,president of the United States from 1857 to 1861
3390,Q52810993,researcher (ORCID 0000-0003-2528-0638)
3391,Q35171,President of the United States (1885–89; 1893–97)
3392,Q91,"president of the United States from 1861 to 1865 (American, 1809-1865)"
3393,Q139653,American politician (1849–1921)
3394,Q34296,president of the United States from 1913 to 1921
3395,Q35686,president of the United States from 1877 to 1881
3396,Q11820,president of the United States from 1837 to 1841
3397,Q11816,president of the United States from 1825 to 1829
3398,Q76045254,(born 1951)
3399,Q9696,President of the United States from 1961 to 1963
3400,Q11806,president of the United States from 1797 to 1801
3401,Q12325,president of the United States from 1857 to 1861
3402,Q35171,President of the United States (1885–89; 1893–97)
3403,Q91,"president of the United States from 1861 to 1865 (American, 1809-1865)"
3404,Q11896,president of the United States from 1849 to 1850
3405,Q11869,president of the United States in 1841
3406,Q33866,president of the United States from 1901 to 1909
3407,Q12306,president of the United States from 1850 to 1853
3408,Q75766972,(1812-1855)
3409,Q11820,president of the United States from 1837 to 1841
3410,Q11806,president of the United States from 1797 to 1801
3411,Q11813,president of the United States from 1809 to 1817
3412,Q11891,president of the United States from 1845 to 1849
3413,Q76,President of the United States from 2009 to 2017
3414,Q11817,president of the United States from 1829 to 1837
3415,Q5545944,American pioneer
3416,Q207,President of the United States from 2001 to 2009
3417,Q93652595,article published 1 April 2000 in The BMJ
3418,Q23505,President of the United States from 1989 to 1993
3419,Q27947481,American physician
3420,Q22686,45th President of the United States from 2017 to 2021
3421,Q47513347,painting by Nancy Fleming Harris
3422,Q1124,President of the United States from 1993 to 2001
3423,Q59661289,reference unit of the National Archives and Records Administration
3424,Q76,President of the United States from 2009 to 2017
3425,Q2063381,United States federal judge (1732-1810)
3426,Q8004806,American judge
3427,Q285521,"American lawyer and politician, signatory of the Declaration of Independence (1741–1811)"
3428,Q108085170,English footballer
3429,Q1701634,American politician (1766-1819)
3430,Q1371498,American jurist and politician (1785-1861)
3431,Q20638897,American planter and businessman
3432,Q56913808,ND
3433,Q459752,U.S. Supreme Court justice (1886-1971)
3434,Q1397321,"first American law professor, a noted classics scholar, a Founding Father of the United States and a Virginia judge"
3435,Q706463,chief justice of the United States from 1910 to 1921
3436,Q100394169,researcher
3437,Q487880,baseball player
3438,Q345494,Japanese composer (1952–2023)
3439,Q487688,South Korean baseball player
3440,Q50604,Major League Baseball pitcher in the Los Angeles Dodgers organization
3441,Q484455,South Korean mixed martial artist
3442,Q562516,South Korean martial artist
3443,Q483898,South Korean association football player
3444,Q97192301,ND
3445,Q624202,South Korean footballer
3446,Q490030,baseball player (1973-)
3447,Q1969780,American politician and Founding Father (1730-1785)
3448,Q435168,American statesman (1745-1829)
3449,Q91373321,(1703-1778)
3450,Q3525248,American silent film actor (1856-1932)
3451,Q11812,president of the United States from 1801 to 1809
3452,Q310847,chief justice of the United States from 1789 to 1795
3453,Q94532785,(1834-1911)
3454,Q336657,"Scottish peer, politician and art collector (1767-1852)"
3455,Q178903,American Founding Father and statesman (1755/1757–1804)
3456,Q500046,"Swiss and American politician, diplomat and scholar (1761-1849)"
3457,Q4710272,artwork by James Earle Fraser
3458,Q170017,King of Wessex and first king of England (r. 924-939)
3459,Q183499,King of England
3460,Q888048,king of Kent from 670 – 725
3461,Q320348,Duke of Saxony
3462,Q105105,king of the Germanic Ostrogoths and ruler of Italy
3463,Q880230,King of Essex
3464,Q468184,King of Wessex
3465,Q314490,King of Denmark
3466,Q154934,King of Wessex
3467,Q454047,King of Wessex
3468,Q30512324,Historical event in England
3469,Q31526,pharaoh from the Seventeenth Dynasty of Ancient Egypt
3470,Q19248,Pharaoh of Egypt
3471,Q18763,pharaoh of Egypt
3472,Q754378,memorial plaque by Merneptah who ruled Egypt between 1213 and 1203 BC
3473,Q158043,fourth pharaoh of the 19th Dynasty of Egypt
3474,Q310278,Egyptian pharaoh
3475,Q296439,Egyptian pharaoh of the 11th Dynasty
3476,Q316271,Egyptian pharaoh
3477,Q129234,5th Pharaoh of the Eighteenth Dynasty of Egypt (c. 1479 BC - 1458 BC)
3478,Q149007,asteroid
3479,Q1054942,American baseball player and coach (1940-2001)
3480,Q561852,American baseball player (1931–2024)
3481,Q741023,American baseball player (1934–1985)
3482,Q959112,"American professional baseball player, outfielder, coach"
3483,Q297142,American baseball player (1914–1999)
3484,Q687282,Baseball outfielder
3485,Q1317158,"American professional baseball player, outfielder, manager"
3486,Q314712,American baseball player
3487,Q4837668,home run hit by Babe Ruth in the 1932 World Series that Ruth allegedly forecast
3488,Q213812,American baseball player (1895–1948)
3489,Q148726,Dominican-American baseball player
3490,Q1890036,video gaming strategy of making an early attack
3491,Q845913,race in StarCraft
3492,Q24851517,Chinese professional League of Legends player
3493,Q831741,character in StarCraft
3494,Q12588604,South Korean pro gamer
3495,Q22122588,Danish video game player
3496,Q100255074,playable character from the game League of Legends
3497,Q30121889,American professional League of Legends player
3498,Q2708254,2005 video game
3499,Q5554134,album by Van Zant
3500,Q5546070,Swedish electronic sports player
3501,Q466508,American singer and actress (1928–2002)
3502,Q229139,"American recording artist; singer, songwriter, composer and actress (1920-2002)"
